COLUMN -> ROW,1) Toy Story (1995),2) A Bug’s Life (1998),3) Toy Story 2 (1999),"4) Monsters, Inc. (2001)",5) Finding Nemo (2003),6) The Incredibles (2004),7) Cars (2006),8) Ratatouille (2007),9) WALL-E (2008),10) Up (2009),11) Toy Story 3 (2010),12) Cars 2 (2011),13) Brave (2012),14) Monsters University (2013),15) Inside Out (2015),16) The Good Dinosaur (2015),17) Finding Dory (2016),18) Cars 3 (2017),19) Coco (2017),20) Incredibles 2 (2018),21) Toy Story 4 (2019),22) Onward (2020),23) Soul (2020),24) Luca (2021),25) Turning Red (2022),26) Lightyear (2022),27) Elemental (2023),A113,Luxo Ball,Pizza Planet Truck
1) Toy Story (1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,License plate number,Luxo Ball,Gas station
2) A Bug’s Life (1998),"Buzz catchphrase, pizza planet cup",,,,"""Darla""",,,,,,,,,,,,,,,,,,,,,,,Code on cereal box,,Bug Zapper
3) Toy Story 2 (1999),,"Chinese takeout container,Bug's Life toys, A Bug's life book, Calendar, Mrs. Potato Head storybook, Flik, Heimlich, Tree, riverbed",,,,,,,,,,,,,,,,,,,,,,,,,,License plate number,"TV comm. for Al's, Al's toy barn",
"4) Monsters, Inc. (2001)","Jessie, Andy's wallpaper, Paul Bunyan Poster, Buzz",Randall banished location,,,"Nemo, clownfish wallpaper",,,,,,,,,,,,,,,,,,,,,,,,Luxo Ball,Randall beating scene
5) Finding Nemo (2003),Buzz,,Buzz,"Mike, Boo's teddy bear, Boo's mobile",,Mr. Incredible,Luigi,,,,Buzz,,,Mike,,,,,,Mr. Incredible ,,,,,,,,Model code on camera,Luxo Ball,dentist office
6) The Incredibles (2004),"Andy's name, toy airplane, ",,,,Tiki mug,,"Doc Hudson, Red",,,,,,,,,,,,,,Buzz,,,,,,,"Room # in Syndrome's lair, Prison cell of Mr. I (L A1 Cell #13","Luxo Ball, Luxo d",
7) Cars (2006),"Tires are Lightyear, Dinco",Drive-in movie,lightyear wheels,"Mike, Sully",,,,,,,lightyear wheels,,,"Mike, Sully",,,,,,,lightyear wheels,,,,,Lightyear wheels,,"Freight train #, Mater's license plate",,Todd
8) Ratatouille (2007),,Chinese takeout container,,,,"Bomb Voyage, Incredibles underwear",,,"cockroach (Hal), ",Dug,,,,,,,,,,,,,,,,,,"Git's ear, old movie watched by Linguini",,Seine scene
9) WALL-E (2008),"Rex, Hamm, Buzz",,"Rex, Orange traffic cones",Mike,Crush,Frozone,"McQueen, Leak Less bottle",Skinner's scooter,,Carl's walking stick,Rex,,,,,,,,,,Rex,,,,,,,Code for the directive,,EVE scans it
