,1) Toy Story (1995),2) A Bug’s Life (1998),3) Toy Story 2 (1999),"4) Monsters, Inc. (2001)",5) Finding Nemo (2003),6) The Incredibles (2004),7) Cars (2006),8) Ratatouille (2007),9) WALL-E (2008),10) Up (2009),11) Toy Story 3 (2010),12) Cars 2 (2011),13) Brave (2012),14) Monsters University (2013),15) Inside Out (2015),16) The Good Dinosaur (2015),17) Finding Dory (2016),18) Cars 3 (2017),19) Coco (2017),20) Incredibles 2 (2018),21) Toy Story 4 (2019),22) Onward (2020),23) Soul (2020),24) Luca (2021),25) Turning Red (2022),26) Lightyear (2022),27) Elemental (2023)
1) Toy Story (1995),1,,,,,,,,,,,,,,,,,,,,,,,,,,
2) A Bug’s Life (1998),2,,,,1,,,,,,,,,,,,,,,,,,,,,,
3) Toy Story 2 (1999),1,8,,,,,,,,,,,,,,,,,,,,,,,,,
"4) Monsters, Inc. (2001)",5,1,,,2,,,,,,,,,,,,,,,,,,,,,,
5) Finding Nemo (2003),2,,1,3,,1,1,,,,1,,,1,,,,,,1,,,,,,,
6) The Incredibles (2004),3,,,,1,,2,,,,,,,,,,,,,,1,,,,,,
7) Cars (2006),3,1,1,2,,,,,,,1,,,2,,,,,,,1,,,,,1,
8) Ratatouille (2007),1,1,,,,2,,,1,1,,,,,,,,,,,,,,,,,
9) WALL-E (2008),4,,2,1,1,1,2,1,,1,1,,,,,,,,,,1,,,,,,
10) Up (2009),2,,,1,,,,,1,,1,,,,,,,,,,,,,,,,
11) Toy Story 3 (2010),2,3,,2,3,1,8,,1,1,,2,,,,,,,,,,,,,,,
12) Cars 2 (2011),1,,,,,1,,1,,,,,2,,,,,,,,,,,,,,
13) Brave (2012),1,,,1,,,,,,,,,,1,,,,,,,,,,,,,
14) Monsters University (2013),1,,,1,,,,,,,,,,,,1,,,,,,,,,,,
15) Inside Out (2015),3,1,,1,1,,,1,,2,1,1,,,,3,,,,,,,4,,,,
16) The Good Dinosaur (2015),1,1,,,,,,,,,,,,,1,,1,,,,,,,,,,
17) Finding Dory (2016),1,,,,1,,,,1,,,,,,1,,,1,,,,,,,,,
18) Cars 3 (2017),2,,,,,,,,1,,,,,,1,,,,2,,,,,,,,
19) Coco (2017),4,,2,2,2,1,,1,,,2,,,2,,,1,,,1,3,,,,,,
20) Incredibles 2 (2018),1,1,,,,,,,,,,,,,2,,,,,,1,,,,,,
21) Toy Story 4 (2019),1,2,,2,1,,,1,1,3,,1,1,,1,,,,2,,,1,,,,,
22) Onward (2020),1,,,,,,,1,,,1,,1,,1,,,,,,1,,1,,,,
23) Soul (2020),1,1,1,1,,,2,1,1,4,1,1,,,5,,2,,2,1,1, ,,1,,,
24) Luca (2021),1,,,,,,,1,1,1,,,,,,,,,1,,,,,,1,,
25) Turning Red (2022),3,,1,,1,,,,,,1,,,,2,,,,1,,1,,,,,1,
26) Lightyear (2022),1,,1,1,,,,,1,,,,,,,,,,,,,1,,,,,1
27) Elemental (2023),,,,,,,,,,,,,,,,,,,,,,,,,,,
